Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-97.51775	16.962994	-50.795685	-114.05324	-102.55986	0.34143344	-102.04963	-103.240326	181.47058	53.4	3999	4.4560385	8.297128	26.416294	-134.58646	-5.9970703	12.433345	29.179789543151855
2	-92.45321	24.828186	-53.74274	-120.84711	-118.70482	1.9684163	-117.15745	-124.475204	336.35715	1000.0	7999	15.914758	13.419483	70.921684	-170.97643	-17.0974	5.355998	77.52032971382141
3	-109.25004	23.58665	-45.74808	-175.96954	-106.41058	0.19022085	-106.15975	-106.74999	173.75	107.0	11999	38.52266	22.75124	92.89866	-262.36008	-40.394417	5.3792157	118.82401490211487
4	-108.84735	2.1412797	-104.91039	-113.88064	-110.66453	0.40442583	-110.019196	-110.99454	93.53488	57.7	15999	42.041367	41.505383	90.80643	-160.76445	-42.871475	3.6661882	160.38433146476746
5	-121.223305	19.368416	-102.8855	-178.2228	-71.29004	16.945438	-56.66675	-120.43303	202.52942	906.9	19999	41.77661	48.821655	92.99916	-180.4827	-44.00936	4.901329	209.77239966392517
6	-122.35525	20.893631	-70.76515	-184.7991	-137.81393	21.970646	-115.4085	-176.31781	182.2	315.2	23999	56.700565	39.473488	105.920235	-182.80315	-58.56503	6.2251863	253.88864588737488
7	-124.1024	10.140787	-106.29783	-145.45018	-50.43536	31.432205	-29.648478	-131.53769	142.72	947.4	27999	57.37622	44.294064	101.89152	-160.3002	-58.885063	6.8831954	304.2992241382599
8	-74.26603	16.958244	-47.422684	-92.011314	-148.68506	2.9373283	-143.84393	-154.14034	1000.0	298.7	31999	58.15343	47.22678	134.06598	-123.715454	-60.043713	7.2710485	348.5086646080017
9	-120.36068	28.40175	-84.08653	-173.2927	-125.005005	47.980267	-68.7421	-184.40779	483.1111	807.8	35999	70.86655	51.39407	153.10342	-132.8257	-72.95425	9.4962225	397.78433060646057
10	-103.33354	52.74073	-54.41012	-171.22694	-143.89453	12.276726	-127.8251	-160.4704	801.8	286.6	39999	80.04246	52.954952	150.23013	-126.83599	-82.06353	10.939407	442.1641502380371
11	-137.52176	21.641525	-104.0888	-188.41335	-139.86844	22.830095	-104.922676	-167.07224	305.6154	258.9	43999	85.31094	52.30024	142.99066	-210.01523	-87.23991	13.980906	486.3078098297119
12	-121.586876	9.054435	-104.34745	-135.03989	-124.733315	13.7296295	-113.36891	-162.30354	113.685715	186.0	47999	84.95879	51.740562	138.47833	-148.99995	-86.671745	14.761482	530.7120273113251
13	-131.98914	18.191437	-117.87493	-202.5453	-110.18364	3.9900463	-103.56309	-117.47562	177.52174	120.9	51999	81.604706	50.997498	132.55188	-159.78632	-83.28961	14.945841	575.1289129257202
14	-113.71553	23.20748	-72.07861	-163.74785	-104.80531	2.537597	-100.61531	-108.42852	485.375	168.3	55999	78.1058	48.80612	130.04204	-138.95808	-79.64561	13.143842	621.1642575263977
15	-109.1025	33.26451	-57.27009	-146.66069	-98.981255	52.56161	-27.97915	-193.12514	579.8571	800.6	59999	74.88173	45.667892	122.967575	-133.11954	-76.34907	11.399064	674.1248555183411
16	-82.05785	35.038124	-28.79703	-129.29662	-93.89161	31.977533	-50.95685	-144.5681	651.6667	535.7	63999	73.10776	41.829124	126.53358	-154.89441	-74.55952	10.065053	726.9349849224091
17	-98.05978	37.521927	-32.89884	-153.26158	-136.43866	16.893309	-114.37789	-173.99341	630.6667	353.1	67999	70.020645	40.073513	115.801994	-132.89677	-71.21877	8.341381	781.9647159576416
18	-121.62176	30.133312	-41.69518	-146.47687	-56.640606	43.850803	-21.25608	-160.59825	388.66666	896.4	71999	65.40131	38.09405	107.40307	-133.04633	-66.52047	7.197168	845.0213253498077
19	-104.40265	47.4097	-24.096704	-184.67763	-74.6317	10.259679	-60.642445	-92.885864	539.75	1000.0	75999	60.994255	36.583908	91.766785	-132.78268	-62.160313	7.154299	912.4228749275208
20	-103.97492	14.788824	-75.50773	-120.68291	-125.931496	44.276985	-68.545715	-215.11363	617.4286	464.1	79999	59.424816	33.781933	95.96755	-147.6072	-60.517788	6.842748	977.2151956558228
21	-112.78032	10.959631	-95.23685	-145.51326	-102.51543	10.861092	-86.92229	-127.07756	211.65	107.7	83999	54.82803	32.828117	84.90617	-140.31448	-55.781586	5.1328244	1039.518538236618
22	-111.24097	18.01495	-81.894135	-158.45732	-130.46484	16.282074	-113.057304	-171.87714	228.0625	223.0	87999	49.81738	33.621563	82.92696	-191.82722	-50.71676	5.9021015	1103.5982983112335
23	-118.46647	20.763287	-85.558395	-148.10956	-146.78365	22.58338	-117.481895	-188.05779	444.33334	389.5	91999	45.524845	32.087963	77.35334	-169.60823	-46.399784	5.7186203	1170.1758151054382
24	-115.29965	49.947285	9.903732	-170.45102	-69.49797	6.1229415	-63.016327	-81.24081	450.125	1000.0	95999	41.95684	31.103508	76.20831	-167.31224	-42.79948	4.8609624	1244.0357930660248
25	-100.763954	13.047857	-83.07095	-118.597984	-104.65304	23.946405	-81.86838	-174.1749	609.2857	961.0	99999	39.40553	31.559925	73.34535	-133.8622	-40.251774	4.655526	1317.5240185260773
26	-114.44786	52.425793	-64.75836	-181.73114	-88.07071	3.2570627	-83.21069	-92.436455	877.4	1000.0	103999	38.038548	31.29555	72.654045	-123.61008	-38.879086	4.891035	1392.5648987293243
27	-145.08423	24.85835	-108.38291	-177.44106	-159.72359	7.5866523	-145.60226	-169.85396	424.1111	377.8	107999	36.243507	30.754856	67.94445	-120.33331	-37.018368	4.7635922	1461.7465767860413
28	-131.43486	27.518667	-97.7455	-185.7189	-113.73356	23.909441	-72.47856	-164.31291	370.3	168.0	111999	34.494884	30.184383	58.403778	-128.77908	-35.303913	5.7023	1528.861264705658
29	-89.539764	62.376633	57.73696	-153.37051	-83.183624	24.882803	-25.788025	-128.20312	478.8889	840.7	115999	33.259693	29.861727	59.377728	-120.854515	-34.033295	5.2000666	1603.2568833827972
30	-61.38751	33.75344	-10.534129	-116.032166	-36.643745	64.20453	37.016495	-143.32265	520.375	862.0	119999	32.431854	28.938017	61.395382	-122.53654	-33.19037	4.9312344	1677.9139029979706
31	-70.98395	69.38074	99.14792	-140.22144	-119.99379	34.428818	-34.236317	-165.29144	456.875	484.6	123999	31.700928	29.328957	62.595985	-123.66576	-32.473423	4.8352127	1748.2368800640106
32	-68.53484	63.08745	35.098892	-144.12318	-142.48103	4.713249	-134.41994	-148.15462	625.5714	156.2	127999	31.023767	29.370407	62.747646	-118.75167	-31.732054	5.4344363	1815.755795955658
33	-63.955036	69.43938	69.741486	-130.07773	-99.24541	18.274197	-74.598175	-150.6444	442.44446	933.2	131999	29.680943	28.935122	57.79366	-118.96629	-30.367708	4.8334503	1891.5147664546967
34	-57.04228	60.606186	48.829308	-108.20343	-100.560425	0.98235214	-99.17293	-102.48088	464.125	64.8	135999	28.548622	28.729813	57.30031	-117.90424	-29.219906	4.545753	1958.2570626735687
35	13.128563	83.69122	90.67428	-115.69153	-41.12095	64.63179	52.99341	-105.02443	726.8333	573.1	139999	28.162865	28.280075	56.38535	-126.752525	-28.832798	4.447261	2030.426584482193
